,URL,District,Address,Tag,Area,Price,latitude,longitude
68,https://km.58.com/shangpu/41627414956322x.shtml,昆明市官渡区,水晶堡,可明火,130 ㎡,0.64,24.951995,102.769414
69,https://km.58.com/shangpu/41618215932555x.shtml,昆明市官渡区,昆船公园,临街 可餐饮 上水 下水,210 ㎡,2.38,24.999774,102.802814
70,https://km.58.com/shangpu/41618505468315x.shtml,昆明市官渡区,海伦国际泰晤士区,临街 可明火 上水 下水,200 ㎡,0.01,24.979777,102.760752
71,https://km.58.com/shangpu/41618098413729x.shtml,昆明市官渡区,云南联贸大厦-裙楼,免租1个月 上水 下水,200 ㎡,1.67,25.027771,102.727095
72,https://km.58.com/shangpu/41493160253443x.shtml,昆明市官渡区,俊发湾流海四组团,免租1个月 临街,153 ㎡,21.79,24.950151,102.751033
73,https://km.58.com/shangpu/41614635917476x.shtml,昆明市官渡区,大学城商业街,临街 外摆区,150 ㎡,3.7,24.983368,102.794644
74,https://km.58.com/shangpu/41612573869085x.shtml,昆明市官渡区,南城坊-3幢,临街,200 ㎡,1.67,24.987145,102.731115
75,https://km.58.com/shangpu/41606447858592x.shtml,昆明市官渡区,汇和·紫光园-1栋,免租1个月 临街 上水 下水,130 ㎡,1.79,25.04416,102.759546
76,https://km.58.com/shangpu/41605223936019x.shtml,昆明市官渡区,东信中心城,免租4个月 临街 可餐饮 上水 下水,120 ㎡,0.22,24.954918,102.845634
77,https://km.58.com/shangpu/40221612245135x.shtml,昆明市官渡区,昆明吴井理想海鲜综合市场-西南门,临街 可餐饮 可明火 上水,280 ㎡,2.17,25.029353,102.740006
78,https://km.58.com/shangpu/41604858105493x.shtml,昆明市官渡区,小麻苴世豪香颂时光,临街 可餐饮 可明火 上水,220 ㎡,1.21,25.004172,102.801003
79,https://km.58.com/shangpu/41604451039247x.shtml,昆明市官渡区,昆明世纪城,临街 上水 下水,268 ㎡,1.59,24.969415,102.753977
80,https://km.58.com/shangpu/41603969491725x.shtml,昆明市官渡区,万科魅力之城-1期,临街 上水 下水,170 ㎡,2.45,24.963922,102.787633
81,https://km.58.com/shangpu/41602441419781x.shtml,昆明市官渡区,中林建材城B区-1幢,免租1个月 临街,200 ㎡,3.33,24.992339,102.76059
82,https://km.58.com/shangpu/41204141920135x.shtml,昆明市官渡区,彼岸小区-二期,临街 上水 下水,276 ㎡,0.72,24.972461,102.783862
83,https://km.58.com/shangpu/41491529147294x.shtml,昆明市官渡区,思兰雅苑-A区,临街 外摆区,106 ㎡,2.83,24.959722,102.834151
84,https://km.58.com/shangpu/41590522825372x.shtml,昆明市官渡区,同兴工业市场,免租1个月 临街 可餐饮,195 ㎡,0.34,25.006519,102.767876
85,https://km.58.com/shangpu/40606531542409x.shtml,昆明市官渡区,碧水蓝天,临街 可餐饮 上水 下水,220 ㎡,1.14,25.003461,102.732279
86,https://km.58.com/shangpu/41585438444056x.shtml,昆明市官渡区,官渡古镇,临街 外摆区,128 ㎡,1.3,24.960282,102.760903
87,https://km.58.com/shangpu/41571882656544x.shtml,昆明市官渡区,黎明路/董家湾路(路口),临街 可餐饮 可明火 上水,200 ㎡,1.17,25.041667,102.743656
88,https://km.58.com/shangpu/41569737526047x.shtml,昆明市官渡区,雨龙路,临街 可餐饮,395 ㎡,2.11,25.021107,102.756614
89,https://km.58.com/shangpu/41568663637910x.shtml,昆明市官渡区,昆明市官渡区永胜星光幼儿园,临街 可餐饮,180 ㎡,1.0,24.964769,102.720813
90,https://km.58.com/shangpu/41563295511320x.shtml,昆明市官渡区,高原明珠国际五金机电商城-1号门,上水 下水,150 ㎡,2.22,24.985075,102.751793
91,https://km.58.com/shangpu/41562454317701x.shtml,昆明市官渡区,万科魅力之城-1期,临街 可餐饮 可明火 上水,120 ㎡,4.06,24.963922,102.787633
92,https://km.58.com/shangpu/41558975718669x.shtml,昆明市官渡区,大润发商业广场-1幢,免租1个月 临街 可明火 上水 下水,140 ㎡,2.38,24.995194,102.728607
93,https://km.58.com/shangpu/41206740844682x.shtml,昆明市官渡区,飞虎大道与广福路交叉口,免租1个月 临街 可餐饮 上水 下水,187 ㎡,2.77,24.980203,102.736538
94,https://km.58.com/shangpu/41265250233602x.shtml,昆明市官渡区,星都国际总部基地,免租1个月 临街,331 ㎡,0.22,24.956845,102.7732
95,https://km.58.com/shangpu/41528878411398x.shtml,昆明市官渡区,长水航城云翎苑,临街 上水 下水,111 ㎡,1.67,25.077694,102.94299
96,https://km.58.com/shangpu/41540892465815x.shtml,昆明市官渡区,俊福花城,临街 可餐饮 可明火 上水,143 ㎡,1.47,24.936601,102.76512
97,https://km.58.com/shangpu/41530517770775x.shtml,昆明市官渡区,万景园-东门,临街 下水 外摆区,120 ㎡,6.02,24.959592,102.770116
98,https://km.58.com/shangpu/41529184831747x.shtml,昆明市官渡区,昆明世纪城,临街 上水 下水,150 ㎡,10.0,24.969415,102.753977
99,https://km.58.com/shangpu/41527791863208x.shtml,昆明市官渡区,大都摩天购物中心,免租3个月 临街 可餐饮 上水 下水,300 ㎡,2.0,24.97498,102.775014
100,https://km.58.com/shangpu/41526002336530x.shtml,昆明市官渡区,沙沟社区农贸市场,临街 外摆区,400 ㎡,0.38,25.055543,102.906387
101,https://km.58.com/shangpu/41520374606854x.shtml,昆明市官渡区,琥珀俊园2期,免租3个月 临街 上水 下水 外摆区,150 ㎡,1.33,24.947661,102.75465
102,https://km.58.com/shangpu/41515905660705x.shtml,昆明市官渡区,骏信国际汽车汽配城二期(2期),临街 下水,260 ㎡,0.97,24.973605,102.809933
103,https://km.58.com/shangpu/41515089499166x.shtml,昆明市官渡区,新广丰综合批发市场,可明火,132 ㎡,1.39,24.993154,102.785314
104,https://km.58.com/shangpu/41505198415877x.shtml,昆明市官渡区,和甸营村,临街 可餐饮 上水 外摆区,200 ㎡,1.0,25.008272,102.766324
105,https://km.58.com/shangpu/41338743758626x.shtml,昆明市官渡区,小喜村,临街 上水 380V,321 ㎡,0.36,24.98712,102.792278
106,https://km.58.com/shangpu/41473344295951x.shtml,昆明市官渡区,海伦国际8号地,免租1个月 临街 上水 下水 380V,131 ㎡,2.04,24.977504,102.755506
107,https://km.58.com/shangpu/40826097087887x.shtml,昆明市官渡区,长水航城茉莉苑,免租1个月 临街 可餐饮 可明火 上水,169 ㎡,1.93,25.092462,102.96085
108,https://km.58.com/shangpu/41463386356370x.shtml,昆明市官渡区,新螺蛳湾,临街 可明火 外摆区,100 ㎡,6.67,24.945241,102.782435
109,https://km.58.com/shangpu/41462709357604x.shtml,昆明市官渡区,东泰花园-二区,临街 可餐饮 上水 下水,300 ㎡,1.11,24.966952,102.802963
110,https://km.58.com/shangpu/41459061179560x.shtml,昆明市官渡区,高原明珠国际五金机电城,上水 下水,170 ㎡,1.12,24.988059,102.758955
111,https://km.58.com/shangpu/41459776775204x.shtml,昆明市官渡区,俊发·新螺蛳湾国际商贸城,临街,240 ㎡,4.5,24.939909,102.781756
112,https://km.58.com/shangpu/40608671172229x.shtml,昆明市官渡区,天盾大酒店,临街,130 ㎡,1.79,24.967859,102.750944
113,https://km.58.com/shangpu/41448604473613x.shtml,昆明市官渡区,花箐村,临街 可餐饮 外摆区,300 ㎡,0.67,25.126693,102.923036
114,https://km.58.com/shangpu/41448934818465x.shtml,昆明市官渡区,何老幺野鱼(国贸路店),临街 上水 下水,110 ㎡,4.06,25.016695,102.747254
115,https://km.58.com/shangpu/41447730049156x.shtml,昆明市官渡区,世纪城茶叶市场(世纪金源购物中心店),免租1个月 上水 下水,100 ㎡,1.59,24.983183,102.767678
116,https://km.58.com/shangpu/41447112956706x.shtml,昆明市官渡区,俊发·湾流海河畔三组团,临街 上水 下水,104 ㎡,1.28,24.951328,102.753264
117,https://km.58.com/shangpu/41238346017695x.shtml,昆明市官渡区,银海国贸花园,临街 可明火 上水 下水,152 ㎡,2.19,25.013702,102.737608
118,https://km.58.com/shangpu/41419941603356x.shtml,昆明市官渡区,骏信国际汽车汽配城二期(2期),临街 上水 下水,165 ㎡,0.69,24.973605,102.809933
119,https://km.58.com/shangpu/40643356194979x.shtml,昆明市官渡区,鸣泉村,临街 可餐饮 可明火 外摆区,195 ㎡,1.54,25.004057,102.773993
120,https://km.58.com/shangpu/40739337812616x.shtml,昆明市官渡区,昆明市官渡区中华小学海伦国际学校,临街 外摆区,302 ㎡,2.43,24.973687,102.752974
121,https://km.58.com/shangpu/41528584250261x.shtml,昆明市西山区,万达广场(西山店),免租1个月 临街 可明火 上水 下水,307 ㎡,6.0,25.014191,102.716539
122,https://km.58.com/shangpu/41459614432026x.shtml,昆明市西山区,华都花园,临街 下水 外摆区,192 ㎡,1.74,24.981303,102.718929
123,https://km.58.com/shangpu/41516830787866x.shtml,昆明市西山区,南亚风情第壹城,免租2个月 临街 380V 外摆区,381 ㎡,9.6,25.01512,102.691386
124,https://km.58.com/shangpu/41551555745438x.shtml,昆明市西山区,云南省第三人民医院,免租1个月 临街 可明火 上水 下水,280 ㎡,3.33,25.034325,102.726117
125,https://km.58.com/shangpu/41691065995906x.shtml,昆明市西山区,南亚风情第壹城,临街 上水 下水 380V,160 ㎡,10.42,25.01512,102.691386
126,https://km.58.com/shangpu/41607094393888x.shtml,昆明市西山区,云南白药大药房(西华连锁店),临街 可餐饮 上水 下水,174 ㎡,2.11,25.0358,102.690125
127,https://km.58.com/shangpu/41614051285913x.shtml,昆明市西山区,西华小区,临街 可餐饮 上水 下水,174 ㎡,2.11,25.034829,102.689513
128,https://km.58.com/shangpu/41459900582280x.shtml,昆明市西山区,恒大云报华府,临街 下水 380V,145 ㎡,3.22,25.006537,102.699654
129,https://km.58.com/shangpu/41703758511255x.shtml,昆明市西山区,万达广场(西山店),临街 可餐饮 可明火 上水,240 ㎡,3.33,25.014191,102.716539
130,https://km.58.com/shangpu/41359783337734x.shtml,昆明市西山区,金洲湾,临街 可餐饮 上水 下水,174 ㎡,2.39,25.067353,102.727354
131,https://km.58.com/shangpu/41723707983649x.shtml,昆明市西山区,理想小镇,临街 上水 下水 外摆区,184 ㎡,3.77,25.000901,102.716678
132,https://km.58.com/shangpu/41637988607138x.shtml,昆明市西山区,西华东区,临街 可餐饮 上水 下水,174 ㎡,2.11,25.032819,102.690902
133,https://km.58.com/shangpu/41636999911718x.shtml,昆明市西山区,园西路,临街 可明火 上水 下水,130 ㎡,1.23,25.062829,102.712576
134,https://km.58.com/shangpu/41361596577413x.shtml,昆明市西山区,东方广场,免租1个月 临街 可餐饮 可明火 上水,200 ㎡,8.67,25.035132,102.716037
135,https://km.58.com/shangpu/41615266197658x.shtml,昆明市西山区,西园路/西坝路(路口),临街 上水 下水,200 ㎡,4.44,25.033669,102.693548
136,https://km.58.com/shangpu/41672453309088x.shtml,昆明市西山区,南亚风情第壹城,临街 上水 下水,310 ㎡,6.09,25.01512,102.691386
137,https://km.58.com/shangpu/41712983893395x.shtml,昆明市西山区,绿景花园,免租1个月 临街 可明火 上水 下水,150 ㎡,8.89,25.018593,102.687762
138,https://km.58.com/shangpu/41668016766488x.shtml,昆明市西山区,春雨路1715号,临街 可餐饮 可明火 上水,400 ㎡,0.67,25.002543,102.623862
139,https://km.58.com/shangpu/41314794574364x.shtml,昆明市西山区,万达·昆明双塔,免租1个月 临街 可餐饮 可明火 上水,307 ㎡,6.17,25.014112,102.718095
140,https://km.58.com/shangpu/41383436537480x.shtml,昆明市西山区,西山新城,临街 可明火 上水 下水,140 ㎡,2.86,25.031286,102.65738
141,https://km.58.com/shangpu/41515045116418x.shtml,昆明市西山区,兴隆巷,免租1个月 临街 可明火 上水 下水,140 ㎡,2.86,25.045822,102.673057
142,https://km.58.com/shangpu/41670234951947x.shtml,昆明市西山区,南亚风情园,临街 可餐饮 可明火 上水,240 ㎡,1.39,25.015915,102.692933
143,https://km.58.com/shangpu/41517023282306x.shtml,昆明市西山区,南亚风情第壹城,免租1个月 临街 380V 外摆区,310 ㎡,6.07,25.01512,102.691386
144,https://km.58.com/shangpu/41691149627019x.shtml,昆明市西山区,南亚风情第壹城,临街 上水 下水 380V,220 ㎡,13.89,25.01512,102.691386
145,https://km.58.com/shangpu/41427177834639x.shtml,昆明市西山区,西福路,临街 可餐饮 上水 下水,110 ㎡,2.27,25.024982,102.686983
146,https://km.58.com/shangpu/41677671197339x.shtml,昆明市西山区,七公里(滇池路),临街 可餐饮 可明火 380V,400 ㎡,0.54,24.983536,102.676245
147,https://km.58.com/shangpu/41726889405446x.shtml,昆明市西山区,昆明南亚风情·第壹城,临街 上水 下水 380V,220 ㎡,6.36,25.01512,102.691386
148,https://km.58.com/shangpu/41524483660957x.shtml,昆明市西山区,旮旯角落(书林街店),临街 可餐饮 可明火 上水,140 ㎡,3.5,25.030855,102.71792
149,https://km.58.com/shangpu/41637319761689x.shtml,昆明市西山区,富邦花园,免租1个月 临街 上水 下水,164.5 ㎡,2.63,25.038003,102.718908
150,https://km.58.com/shangpu/41294749236231x.shtml,昆明市西山区,盛高大城-一期,上水 下水 380V 外摆区,136 ㎡,4.41,25.021014,102.704084
151,https://gy.58.com/shangpu/38883633356449x.shtml,昆明市西山区,别馆,免租1个月 临街 可明火 上水 下水,289 ㎡,1.06,25.019593,102.708298
152,https://km.58.com/shangpu/40545607071773x.shtml,昆明市西山区,华都花园-B区,临街 上水 下水 外摆区,100 ㎡,0.83,24.981056,102.714732
153,https://km.58.com/shangpu/41693416005762x.shtml,昆明市西山区,永昌二号巷,临街 可餐饮 可明火 上水,110 ㎡,1.76,25.025065,102.7129
154,https://km.58.com/shangpu/40143798310176x.shtml,昆明市西山区,胖虎奢侈品(西南旗舰店),临街,140 ㎡,0.05,24.991483,102.681036
155,https://km.58.com/shangpu/41615552009474x.shtml,昆明市西山区,云纺商业区(环城南路店),免租3个月 临街 上水 下水 380V,140 ㎡,0.48,25.029259,102.716775
156,https://km.58.com/shangpu/41537722416287x.shtml,昆明市西山区,银海山水间-3号门,免租1个月 临街,128 ㎡,1.35,25.007691,102.677468
157,https://km.58.com/shangpu/41703942853273x.shtml,昆明市西山区,佳湖新城-6幢,临街 下水,100 ㎡,2.17,24.999562,102.715989
158,https://km.58.com/shangpu/41713846158871x.shtml,昆明市西山区,恒大云报华府,免租2个月 临街 可明火 上水 下水,179 ㎡,2.42,25.006537,102.699654
159,https://km.58.com/shangpu/40212079414687x.shtml,昆明市西山区,未名城A3地块,免租1个月 临街 可明火 上水 下水,110 ㎡,0.04,25.000045,102.704935
160,https://km.58.com/shangpu/41706714760330x.shtml,昆明市西山区,润城第二大道,免租1个月 临街 可明火 上水 下水,138 ㎡,150.0,25.002725,102.713156
161,https://km.58.com/shangpu/41595613192725x.shtml,昆明市西山区,蓝光COCO蜜城-3栋,免租1个月 临街 上水 下水 外摆区,121 ㎡,2.34,24.998338,102.723886
162,https://km.58.com/shangpu/41703947997209x.shtml,昆明市西山区,鑫逸苑,临街,330 ㎡,2.02,25.000995,102.710249
163,https://km.58.com/shangpu/41697195693193x.shtml,昆明市西山区,润城第一大道,临街 上水 下水 外摆区,260 ㎡,1.86,25.003795,102.707663
164,https://km.58.com/shangpu/41571013495688x.shtml,昆明市西山区,南亚风情第一城-A1栋,免租10个月 上水 下水 380V 外摆区,163.8 ㎡,2.65,25.015532,102.689579
165,https://km.58.com/shangpu/41690201431692x.shtml,昆明市西山区,天阳花园-东门,临街 上水 下水,140 ㎡,3.1,25.035156,102.70097
166,https://km.58.com/shangpu/39274305266589x.shtml,昆明市西山区,昆明市西山区第一中学,临街 可餐饮 上水 下水,300 ㎡,0.28,25.054802,102.667666
167,https://km.58.com/shangpu/41684985544710x.shtml,昆明市西山区,金亚商业中心-A栋,临街 可餐饮 可明火 外摆区,104 ㎡,1.6,25.012561,102.699463
168,https://km.58.com/shangpu/41658707955086x.shtml,昆明市西山区,大学城,临街 上水 下水 380V,200 ㎡,13.33,24.842419,102.84885
169,https://km.58.com/shangpu/41649023425953x.shtml,昆明市西山区,良晨水逸2期,临街 可明火 下水 外摆区,354.1 ㎡,1.32,24.974609,102.712522
170,https://km.58.com/shangpu/41603163501728x.shtml,昆明市西山区,蓝光·COCO蜜城(望江路),临街 上水 下水 外摆区,200 ㎡,1.17,24.998465,102.723626
171,https://km.58.com/shangpu/41669954660897x.shtml,昆明市西山区,宏盛达滇池·柏悦5号楼,临街 可餐饮 可明火 上水,100 ㎡,1.83,25.037143,102.673315
172,https://km.58.com/shangpu/41659328381321x.shtml,昆明市西山区,时代风华-2期,免租1个月 临街 上水 下水,115 ㎡,4.06,24.992657,102.716751
173,https://km.58.com/shangpu/41659005724829x.shtml,昆明市西山区,时代风华2期-北门,免租1个月 临街,115 ㎡,4.06,24.993873,102.716573
174,https://km.58.com/shangpu/41657505974671x.shtml,昆明市西山区,滇池时代,免租2个月 临街 可餐饮 可明火 上水,100 ㎡,0.03,25.017515,102.691513
